title,link
FG-VD-54509.0day,https://www.fortiguard.com/encyclopedia/ips/54509
FG-VD-54089.0day,https://www.fortiguard.com/encyclopedia/ips/54089
Jorani.API.session.CVE-2023-26469.Remote.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53575
Trend.Micro.Email.Inspector.network_dump.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/53474
Delta.Electronics.InfraSuite.Device.Master.Deserialization,https://www.fortiguard.com/encyclopedia/ips/53280
DCBI-Netlog-LAB.nsg_masq.cgi.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/52885
WordPress.Multiple.Themes.Unauthenticated.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/52769
Planet.eStream.ProcessUpload2.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/52735
MS.Exchange.Server.PSRP.Deserialization.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/52639
