title,link
Sierra.Wireless.AirLink.ALEOS.ACEManager.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/54491
LG.Simple.Editor.copyTemplateAll.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54397
Netgear.PS.NMS300.MyHandlerInterceptor.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54313
Foxit.Reader.and.PhantomPDF.Annotation.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/53725
Google.Chrome.V8.JIT.Optimisation.TheHole.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/53706
